registry,agent_id,owner,agent_uri,card_resolvable,card_name,feedback_count,feedback_method,last_activity_block,active_30d,card_note
brc8004,1,0x350ddeE488F2080568F2fb68CBb9Aa8CA33fA24F,"data:application/json;base64,eyJ0eXBlIjoiYnJjODAwNC1hZ2VudC1yZWdpc3RyYXRpb24iLCJ2ZXJzaW9uIjoiMS4wIiwibmFtZSI6IlRlc3QiLCJkZXNjcmlwdGlvbiI6IkEgdGVzdCBhZ2VudCBmb3IgQlJDODAwNCBwcm90b2NvbCBkZW1vbnN0cmF0aW9uIiwic2VydmljZXMiOlt7InR5cGUiOiJhcGkiLCJ1cmwiOiJodHRwczovL2V4YW1wbGUuY29tL2FwaSJ9XSwicmVnaXN0cmF0aW9ucyI6W119",False,,0,event-30d,,False,uri no http/https/ipfs
brc8004,2,0x350ddeE488F2080568F2fb68CBb9Aa8CA33fA24F,ipfs://bafkreiaezyduf2xrhf7ub35tdn3n2q3zthymkygy7u2koxlj6bgsc2xk7e,True,PicTest,0,event-30d,,False,ok
brc8004,3,0x350ddeE488F2080568F2fb68CBb9Aa8CA33fA24F,ipfs://bafkreib67wqwpwv2dzlb7dujqvpgzretr4wlipnxpkynm4w42qjuilkrqq,True,BRC8004,0,event-30d,,False,ok
brc8004,4,0xC28dE37a0440aa6F3964Ce1df6bD6717Bb7b9D72,ipfs://bafkreifmrijiws4ven6oxvyzkrfphfrvswk3fqwwa63q5mgl46vrsfhh3u,True,大鸡巴,0,event-30d,,False,ok
brc8004,5,0x54e6cff46DfB081fe37D4cB5DdFBc28bFA0C19f3,ipfs://bafkreifrn7eugmwlv5zdukttxzii6zd7wdhzia5j2oixqiqmrhhzjhpbbi,True,tgead,0,event-30d,,False,ok
brc8004,6,0xdbbA50E6f254D6f93318f415CF642Cd8549bce4e,ipfs://bafkreie2vm7rt7lgd3ygikeiielx5hfxhcrete24vpvwen2g2vh7idcrzq,True,Epstein,0,event-30d,,False,ok
brc8004,7,0xdbbA50E6f254D6f93318f415CF642Cd8549bce4e,ipfs://bafkreiadssqemuzp4qnvtsr2rwrhioqghfk3rj35c5g3xm7bn4glugkbi4,True,X,0,event-30d,,False,ok
brc8004,8,0xdbbA50E6f254D6f93318f415CF642Cd8549bce4e,ipfs://bafkreicagqu656443hlwtohzoim3m7cjhlc2cdevpg4dmnhj3hza3lb2sm,True,8,0,event-30d,,False,ok
brc8004,9,0x97BAcd1Bd5Dc951d1e597a2Fe0a65767ee1C857b,"data:application/json;base64,eyJ0eXBlIjoiYnJjODAwNC1hZ2VudC1yZWdpc3RyYXRpb24iLCJ2ZXJzaW9uIjoiMS4wIiwibmFtZSI6IkFydGVtaWNzIiwiZGVzY3JpcHRpb24iOiIiLCJzZXJ2aWNlcyI6W3sidHlwZSI6IldlYiIsInVybCI6Imh0dHBzOi8vZm91ci5tZW1lP2NvZGU9QzVVRTJNNUg4OUZDIn1dLCJyZWdpc3RyYXRpb25zIjpbXSwic3VwcG9ydGVkVHJ1c3QiOlsicmVwdXRhdGlvbiJdfQ==",False,,0,event-30d,,False,uri no http/https/ipfs
brc8004,10,0x54D294C690A16BA0224ec6aaC5926f2B91bD7181,ipfs://bafkreigawnwdxkxe4o4gbz5quaxcnjhcrigh2dp4hu7qefkzfb72onqrv4,True,AIDOG,0,event-30d,,False,ok
